"TENo","count","inv.mean","inv.std.dev","participants.mean","distinct.cc","Status","Department  _","Department B _","Department C _","Department D _","Department E _","Department F _","Department G _","Department H _","Department I _","Department J _","Department K _","Department M _","Department N _","Department Q _","Department R _","Department S _","Department T _","Department U _","Department V _","Department W _","Department X _","Department Y _","Department Z _","status.bin"
"CN201401010037",6,0.135080285333333,0.0351958557690627,0,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010038",6,0.136068398666667,0.241756851736745,1.66666666666667,4,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010039",4,0.210533055,0.149756083657925,7.75,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010040",4,0.2027478345,0.149128748947026,3.25,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010041",55,0.0152634585454545,0.0419730872500208,1.56363636363636,5,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010042",2,0.860421106,0,0,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010043",6,0.140220743,0.185685625723046,5.66666666666667,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010044",42,0.0209540300238095,0.0325218523143893,3.88095238095238,2,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010046",12,0.068020751,0.0899612701184711,1.41666666666667,4,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010048",14,0.0590594504285714,0.114163808359406,2.14285714285714,2,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010049",8,0.10087065875,0.0462065007785412,0,1,"Approval",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010050",15,0.0554758392666667,0.0619947114484439,1.93333333333333,2,"Approval",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010051",6,0.136952463833333,0.128518251294576,3.16666666666667,2,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010052",6,0.135563725,0.0591664993485743,2.66666666666667,3,"Approval",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010053",1,0.844116375,NA,0,1,"Approval",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010054",13,0.0629956671538462,0.133126150887475,1.07692307692308,3,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
"CN201401010055",1,0.806488767,NA,0,1,"Approval",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
